person	persoon
award für konferenzbeitrag	Conferentie bijdrage award
registrierungskosten für mitglieder von sigkdd	registratie kosten voor leden van sigkdd
sponsor für besten studentischen beitrag	sponsor voor beste student bijdrage
hörer der konferenz	luisteraars van de conferentie
hotel	Hotel
konferenz organisiert von	Conferentie georganiseerd door
deadline für authorenmitteilung	termijn voor authorenmitteilung
bleibt in	blijft in
sponsoren wurden aufgerufen von	sponsors werden genoemd door
paid zahlt registrierungsbeitrag	betalen registratie post betaald
beitrag wurde eingereicht von	bijdrage werd voorgelegd door
deadline festgelegt	bepaalde termijn
präsentiert dokumente	presenteert documenten
hat award	Award
aufruf von sponsoren	oproep van sponsors
organisiert konferenz	georganiseerde conferentie
hat preis	heeft prijs
ist datiert auf den	is gedateerd op de
registrierungsbeitrags ist in währung	register bijdrage in valuta is
hat name der konferenz	naam van de conferentie heeft
hat nationalität	nationaliteit heeft
hat sponsorenname	heeft sponsorenname
datum des ersten tages der konferenz ist	datum van de eerste dag van de conferentie is
award erhalten von	Ontvangen award van
registrierungsbeitrag gezahlt von	Register bijdrage betaald door
hat award erhalten von	Ontvangen award van
wurde präsentiert von	werd gepresenteerd door
deadline eingerichtet für	termijn voor
konferenz findet in folgender stadt statt	Conferentie zal worden gehouden in de volgende stad
datum des letzten tages der konferenz ist	datum van de laatste dag van de conferentie is
hat webseite url	url webpagina heeft
maximale anzahl zugewiesenen beiträgen	maximum aantal toegewezen bijdragen
hat logo url	logo url heeft
hat details eingefügt bezug auf	Details op een verwijzing toegevoegd
hat interessenskonflikt bezug auf	interessenskonflikt referentie heeft op
steht interessen-konflikt mit beitrag	zijn belangen conflict met bijdrage
bestimme maximale anzahl zugewiesenen beiträgen	Kies nummer toegewezen maximumbijdragen
findet statt	plaatsvindt
studiert	studeerde
wird bezahlt	wordt uitbetaald
befindet sich	gelegen
spricht (räumlich und zeitlich)	spreekt (ruimtelijke en temporele)
registrierungsbeitrags ist währung	valuta is register bijdrage
konferenz findet folgender stadt statt	Conferentie zal worden gehouden de volgende stad
bleibt	blijft
zusammenfassung eines konferenzbeitrags	Samenvatting een conferentie-bijdrage
erweitertes zusammenfassung	uitgebreide samenvatting
zusammenfassung	Samenvatting
datum der einreichung des zusammenfassungen	datum van indiening van de samenvattingen
hat zusammenfassung	heeft samenvatting
deadline für die einreichung der zusammenfassung	uiterste datum voor indiening van de samenvatting
