person	Person
is equipped	ist ausgestattet
is made	erfolgt
is signed	wird unterzeichnet
is used	wird verwendet
is held	findet statt
date starting day	Datum Anfangstag
registration fee paid	Anmeldegebühr bezahlt
deadline author notification	Benachrichtigung der Endtermin-Autor
setup deadline	Einrichtung-Frist
has deadline submission	Frist Einreichung
awarded	ausgezeichnet
sponzor are called	Sponzor heißen
was presented	wurde vorgestellt
date final day	Datum-Finaltag
takes place city	findet Stadt
registration fee is currency	Anmeldegebühr ist Währung
call sponzor	Rufen Sie sponzor
setup deadline for	Einrichtung-Frist für die
organized	organisiert
stay	Aufenthalt
organize	organisieren
assistant	Assistentin
reviews	Bewertungen
