řádný článek	einen richtigen Artikel
stanoveny termíny	fixe Termine
termín pro odeslání	die Frist für die Einreichung
pořádá konferenci	organisiert von der Konferenz der
sídlí v	untergebracht der
je stanoven na	richtet sich auf die
jméno sponzora	der Name des Sponsors
jméno konference	der Name der Konferenz
jmenuje se	sein Name ist
národnost	die Staatsangehörigkeit der
zaplatil registrační poplatek	die Registrierungsgebühr zu bezahlen
oceněno	ausgezeichnet mit dem
má ocenění	Meine Awards
datum závěrečného dne konference	das Datum des letzten Tages der Konferenz
datum prvního dne konference	das Datum des ersten Tages der Konferenz
cena	Preis
registrační poplatek je ve měně	Die Teilnahmegebühr beträgt in der Währung der
město pořádání konference	die Stadt der Konferenzen
získal ocenění	gewann den award
prezentace dokumentu	die Präsentation des Dokuments
zaslání článku	Artikel versenden
sponzoři hledáni kým	Suche nach Sponsoren, die
registrační poplatek zaplacen kým	Die Teilnahmegebühr wurde bezahlt.
