chairman	主席
related to the activity	与该活动相关
signed by the	由签署
it takes place when and where	它发生，何时何地
paid the	支付
made from	由
located where the	位于何处
it takes place after the	它发生
used for the	用于
posted by who	由世卫组织发布
it is equipped with the	它配备了
wrote	写道︰
used by	通过使用
receives the	接收
it is ready for	它是准备
it is present when and where	它是目前何时何地
it is present when	它是目前
related to the	有关
preparing article	准备篇文章
it is associated with	它是与关联
talking about when and where	浅谈何时何地
sent time after	发送的时间后
takes place	发生
state of sponzors	sponzors 的状态
registration fee for a non author	非作者注册费
departure fee	离境费
hotel rooms	酒店客房
registration fee for an author who receives the tagungsband in book form	作者以书的形式领取 tagungsband 的注册费
city representing a destination	城市代表一个目的地
lecturer who speak in the plenary	在全体会议上发言的讲师
speakers	发言者
house of presenting	房子的介绍
registration form (hotel)	登记表格 （酒店）
registration fee for an author receiving the tagungsband as cd	作者接受作为 cd tagungsband 的注册费
brief introduction to the session seat above	会议座位以上情况简介
author receiving a tagungsband in book form	作者在书的形式接收 tagungsband
fee for one additional trip	增加一次旅行费用
home to a company that is a sponsor	一是赞助商的公司的家园
time (time and date)	时间 （时间和日期）
single room	单人房
expert	专家
accept a manuscript	接受一份手稿
rent a car	租一辆车
retail	零售
submission deadline	提交截止时间
map	地图
state of the conference	会议的状态
university of presenting	大学的介绍
listeners	听众
activity that takes place before the conference	在会议之前发生的活动
employee lecturer	员工讲师
subject	主题
foil (overhead projector)	铝箔 （投影仪）
lecturer the in the conference hotel is	讲师在会议酒店是
employee who is not a public speaker	不是一个公众演说家的员工
subject (in general)	主题 （在一般）
airport in the conference venue	在会场的机场
state of presenting	提交状态
form for the information of the author	作者的信息的窗体
activity that takes place after the conference	会议结束后发生的活动
single conference day	单一会议一天
city a sponsor comes from the	赞助商来自的市
non speakers	非扬声器
proof of payment	付款凭证
conference visitors	会议游客
cameraready deadline	cameraready 截止日期
lecture held by a speaker	一位发言专题讲座
city where the conference will be held	会议将在哪里举行的市
activity that takes place during the conference	在会议期间发生的活动
lecturer holds the a tutorial	讲师持有教程
original version of the manuscript	原始版本的手稿
video recorder	录像机
modeling activity	建模活动
non member of iasted	非会员的网路
excursion day	游览一天
author receiving a tagungsband as cd	作者接受作为 cd tagungsband
tagungsband as book	作为本书的 tagungsband
registration form (conference)	登记表格 （会议）
lecturer who talks only in one day	仅在一天之内会谈的讲师
student who is not a public speaker	学生不是一个公众演说家
sponsorgebuehr	sponsorgebuehr
opinion	意见
rejection of a manuscript	退稿处理等
foil	铝箔
city comes from the a lecturer	城市来自一位讲师
attendance sheet	考勤表
automotive	汽车
tagungsband as cd	作为 cd tagungsband
double room	双人间
endversion of the manuscript	endversion 的手稿
registration deadline	登记截止日期
lecture in the plenary	在全体会议上的演讲
acceptance of a manuscript	接受一份原稿
day tour	一日游
must be done to	必须做的
has the amount of	有的金额
will be sent by	将通过发送
wirdgegebenan	wirdgegebenan
required	必填
will be paid for	将支付
will be paid in	将支付
located in	位于
designed intended for	设计的用于
will be sent to	将被发送到
signed	签署
is required for	是必需的
is equipped with	配备
inhabited	居住
receives	接收
istanwesend (place)	istanwesend （地方）
takes place in	在发生
are	都是
will be paid by	将由支付
speaks in	在讲话
speaks in (spatial and temporal)	说话 （时空）
speaks	讲话
located	位于
prepared	准备
will be paid with	将与支付
istanwesend (spatial and temporal)	istanwesend （时空）
takes place before	发生之前
takes place after	发生后
is inhabited by	由居住
istanwesend	istanwesend
speaks (spatial and temporal)	讲话 （时空）
is connected related to	连接相关的
will be given carried out by	须进行的
will be paid	将支付
paid	支付
taking place during	在发生
taking place after	发生
refusing a manuscript	拒绝一份手稿
accepting a manuscript	接受一份手稿
taking place before	之前发生
modelling	建模
receiving a manuscript	收到一份手稿
renting a car	租一辆车
simulating	模拟
occupies	占地
includes the book of records for authors	包括记录这本书的作者
state that the conference takes place	会议发生的状态
deadline for hotel booking	酒店预订截止日期
plenary speaker	全体会议议长
bus of round trip	总线的往返行程
presenter of the hotel	节目主持人的酒店
house of the moderator	主持人的房子
the moderator status	主持人地位
presentation video	视频的演示文稿
activity after the conference	在会议之后的活动
company of the moderator	公司的主持人
it includes the cd of transcriptions for authors	它包括裁谈会的改编作者
one day conference	一天的会议
registration fees for members	会员注册费
research	研究
added value tax	增值税
shipping	航运
fees for registration aestudiantes	注册 aestudiantes 的费用
rates of book author and assistant	本书作者和助理率
deadline for submission of proposals	提交提案的截止日期
brief introduction to the president of the session	本届会议主席简介
the conference building	会议大楼
hiker of the conference	徒步旅行者的会议
record attendance	记录考勤
accepting the manuscript	接受这份手稿
output rates	产出率
information about the author form	作者窗体的信息
rejecting the manuscript	拒绝这份手稿
author assistant rates and cd	作者助理率和 cd
money	钱
an extra trip rates	额外旅行率
welcome greeting	欢迎问候语
modeling	建模
no speaker	没有扬声器
output	输出
the registration fees	注册费
day excursion	一日游
conference plenary	会议的全体会议
renting	租赁
transparency	透明度
restaurant of the conference	餐厅的会议
the host city	主办城市
presenter during a day	在一天的节目主持人
welcome cocktail	欢迎酒会
days of the conference	会议几天
student not speaker	学生不是扬声器
city tour	城市旅游
city of sponsor	赞助商的城市
pause for coffee	停顿，喝杯咖啡
the proceedings	诉讼程序
main hall of the conference	主殿的会议
tutorial speaker	教程的扬声器
rates of the hotel	酒店订房服务
social program	社会程序
student speaker	学生演讲者
gala dinner	盛宴
activity prior to the conference	在会议之前活动
receiving the manuscript	收到这份手稿
the conference city	会议城市
worker not speaker	工人不扬声器
deadline for submission of the final version	最终版提交截止日期
all day excursion	所有一日游
university of the moderator	大学的主持人
president of the session	会议主席
the proceedings cd	诉讼程序 cd
registration fees for non authors	对于非作者注册费
rates	利率
registration fees for non members	注册费为非成员的
introduction of the speaker	演讲者的介绍
make up to	让达
dated at	在日
prepare	准备
paid for	为支付
occupied by	被占领
pass by	擦肩而过
need	需要
used for	用于
is present	是目前
get	获取
given to	给
sent before	发送前
be connected with	与连接
deal with	处理
speak in	发言
be equipped for	具备为
is present in	目前在
be designated by	由指定
made of	由
given by	给出了由
conference tour guide	会议旅游指南
author registration fee	作者注册费
student registration fee	学生注册费
a tutorial speaker	教程的扬声器
meeting hall	会议大厅
state of a conference	状态的一次会议
transparent	透明
home overview	首页概述
city of excursion	游览的城市
iasted member	协会成员
author who acts on digital media	作用于数字媒体的作者
member registration fee	会员注册费
author participating for acts in the paper registration fee	作者参与对于纸注册费的行为
author who acts in paper format	作者行为在纸张格式
day of travel	一天的旅行
not a member of iasted	不是协会的成员
deadline for submission of final version of manuscript	最终版本的手稿提交截止日期
acceptance of manuscript	接受的手稿
house of sponsor company	赞助商公司的房子
state of a sponsor	赞助商的状态
deadline for submission	提交截止时间
hotel room double	酒店房间双
an author information form	作者信息表格
guided tour a day full	导游一天满
simulation	模拟
hotel room reservation form	酒店房间预订表
day of conference	会议的一天
activity taking place during a conference	在会议期间发生的活动
registration of copyright for acts on digital media	行为上的数字媒体版权注册
student presenter	学生演示者
speaker one day	演讲者一天
shuttle	班车
city of conference	会议城市
university of presenter	大学的主持人
restaurant of a conference	餐厅的一次会议
additional travel expenses	额外的旅行费用
brief introduction of chairman of session	简要介绍了会议的主席
acts in paper format	行为在纸张格式
register for participation	报名参加
rental	租赁
chairman of session	会议主席
conference room	会议室
self employed person presenter	自我被雇用的人演示者
simple hotel rooms	简单的酒店客房
activity taking place after a conference	在一次会议后的活动
representative	代表
maître d'hotel	福不满
receipt of manuscript	收到的手稿
acts in digital format	在数字格式中的行为
refusal of manuscript	手稿的拒绝
city of presenter	演示者的城市
presenter home	演示者回家
activity to take place before a conference	活动举行一次会议之前
hotel expenses	酒店费用
state of a presenter	节目主持人的状态
a conference hotel	会议酒店
introduction of a speaker	一位发言者的介绍
costs	费用
student non speaker	学生非扬声器
examination report	检验报告
speaker presentation	演讲者演示文稿
a quantity of	数量
is dated from	被日
is made up	组成
a place before	之前的地方
needs of	需要的
is located in	位于
is designed to	目的是
speaks to	说话
payroll	工资
is connected to	连接到
is paid to	支付给
is equipped with the	配备
is present at	出席
is used to	习惯
hotel costs	酒店成本
author conference book bundle included	包括的作者会议书捆绑
author book present registration fee	作者书目前注册费
student lector	学生讲师
sponsor state	赞助商状态
worker lector	工作人员讲师
presenter is	主持人是
ready to print manuscript deadline	准备好打印稿件截止日期
beamer	投影机
conference book bundle	会议书捆绑
manuscript received	收到的手稿
crash course in speaker	扬声器的速成课程
iasted non member	网路非成员
first manuscript	第一份手稿
author registration fee using existing cd	使用现有光盘的作者注册费
hire	租用
conference state	国家会议
reading	阅读
lector	讲师
author conference bundle cd included	作者会议包 cd 包括
conference cd bundle	会议 cd 包
hotel enquiry form	酒店查询表格
crash course	速成班
travel day	一天的旅行
activity for the conference	会议活动
general lecture speaker	一般的演讲报告人
simulate	模拟
session president	会议主席
amazon reviewer	亚马逊审阅者
cost for extra travel	为额外的旅行费用
head office	总公司
speaker reading	说话人阅读
deadline hotel booking	截止日期酒店预订
sponsor town	赞助商镇
host city	主办城市
conference walker	会议沃克
one day presenter	一天节目主持人
accept script	接受脚本
presenter university	节目主持人大学
travel city	旅游城市
manuscript rejection	手稿拒绝
proof of presence	存在的证明
brief introduction president	简要介绍了总统
one day tour	一日游
a conference day	一天的会议
part	部分
registration fees are non author	注册费是非作者
sponsor company home	赞助商公司首页
cost	成本
acceptance deadline announcement	接受截止日期公告
conference city	会议城市
speaker proposals	演讲者的建议
ready to	准备好
is sent for	发送
is held for	为举行
features	功能
continue	继续
give	给
speaking in	在发言
preparing	准备
charged	被控
occupy	占据
has been signed by	已签署的
speak	发言
is located	位于
registration fee for non member	非会员注册费
presenter's house	演示者的房子
final version	最终版本
extra travel fee	额外的旅行费用
refusal of articles	文章的拒绝
hotel of the conference	酒店的会议
search	搜索
book of annals	本书的史册
hotel signup form	酒店注册表格
sponsoring company	赞助公司
double room hotel	双人房酒店
presenter's university	演示者的大学
rate	速率
presenter of a day	主讲人的一天
the conference's restaurant	会议餐厅
registration fee for participant cd author	参与者的 cd 作者注册费
tutorial presenter	教程演示者
information form for authors	作者信息窗体
list of presence	列表中的存在
not professional speaker	不是专业的演讲者
receipt of articles	收到的文章
full day excursion	全天游览
shipment fee	装运费用
the state sponsor	国家赞助商
day of the conference	会议的一天
professor employee	教授员工
registration fee for students	学生注册费
the speaker's presentation	演讲者
no member of the iasted	网路的任何成员
brief introduction to the session coordinator	会议协调员简介
staying at the host hotel	主机酒店入住
building of the conference	建筑的会议
transparencies	透明胶片
seen	见过
speaker's lecture	演讲者的演讲
cd of the proceedings	裁谈会的程序
bus	公共汽车
registration fee for non author	非作者注册费
session coordinator	会议协调员
technical commission	技术委员会
author book included in the annals	作者书载入史册
plenary lecture presenter	全体会议讲座主讲人
tripper of the conference	卸料小车的会议
rent	租金
registration fee for membership	会员注册费
city trip	城市旅行
reception cocktail	接待鸡尾酒
single room hotel	单人房酒店
expiry date of registration	注册有效期届满日期
deadline for final version article	截止日期为最后版本条的
boarding	登机
price of hotel	酒店价格
acceptance of articles	接受条款
wire transfer	电汇
author cd included in the annals	作者 cd 载入史册
registration fee for participant book author	参与本书作者注册费
no student speaker	没有学生扬声器
inscription	题词
pause	暂停
cab	出租车
initial version	初始版本
done until	直到完成
has a date	有个约会
is present within	是目前内
requires	要求
is made within	内作出
va by	虎斑猫
is made after	由政府经过如此
is paid within	内支付
it is equipped for	它是为装备
is submitted after	提交后
it is necessary to	它是必要的
is situated within	位于内
is determined by	是由决定的
is done before	做过
of	的
it is made of	它是由
information request form about the author	关于作者的信息请求表单
the deadline for registration	报名截止日期
fee for additional trip	额外的旅行费用
report of the rapporteur	报告员的报告
student reporter	学生记者
the employee is not the rapporteur	雇员不是报告员
the country rapporteur	国别报告员
no author registration fee	没有作者注册费
country conference	国家会议
tax administration	税务管理
event conference	事件会议
itkokristalli eskij projector	itkokristalli eskij 投影仪
hotel single room	酒店单人房
the book collection of works	图书收藏的作品
one day he	一天他
city conference	城市会议
the administration of	管理
house sponsor company	赞助商公司
the author the book is a compendium of works incorporated	作者这本书是汇编作品纳入
room partition	卫生间隔断
the rapporteur of the plenary report	报告员的全体会议上的报告
author registration fee exhibitor	作者注册费参展商
book review	书评
giver in the hotel	在酒店的送礼者
rejection of the manuscript	退稿处理等
dates of the conference	会议的日期
secular program	世俗的程序
the deadline for application submission	应用程序提交的截止日期
not dosklad ik	不 dosklad ik
technical event	技术事件
report	报告
worker rapporteur	工作人员报告员
building conference	建筑会议
ceiling projector	天花板上投影仪
feed	饲料
suburban bus	郊区公交车
entry	条目
registration fee book author contributor	注册费书作者贡献者
receipt of the manuscript	收到手稿
the author a disc of works included	作者的作品所包含的光盘
cd compilation of works	cd 的作品汇编
city reporter	市记者
a brief introduction of the section	简要介绍了节
airport conference	机场会议
cocktail party	鸡尾酒会
the student is not the rapporteur	这个学生不是报告员
rapporteur of the training course	报告员的培训课程
afternoon tour	下午游
hotel reservation deadline	酒店预订截止日期
welcome address	欢迎地址
view	视图
certificate of participation	结业证书
house speaker	众议院议长
membership registration fee	会员注册费
the student registration fee	学生注册费
no membership fee	无需会员费
training course	培训课程
city sightseeing tours	城市观光旅游
plenary report	全体会议的报告
acceptance of the manuscript	接受的手稿
study	研究
the original manuscript	原始手稿
vehicle	车辆
the deadline for	截止日期为
event after the conference	在会议之后的事件
rapporteur	报告员
deadline for final version of the manuscript	截止日期为最后版本的手稿的
presenter view	演示者视图
day excursions	一天游览
university of rapporteur	大学的报告员
up to	高达
scheduled for	定于
the amount of	金额
present during the	本期间
who is visited	谁被参观
designed for	为设计
occur before	发生之前
is in	是在
who submitted	谁提交
occurs in	发生在
who subscribes	谁赞成
what does	做什么
who is preparing	谁来准备
takes	需要
gets the	获取
who uses	谁在使用
sent after the	发送后
occur after the	发生后
report in the	报告中
used	使用
than paid	比付费
what is written	写的是什么
is associated with	与关联
pristutstvuet in	在 pristutstvuet
what is paid	什么是支付
is sent to the	发送到
produced from	从生产
where payable	在应付帐款
who is sent	谁是送
